Extractor,Vocabulary size,Iterations,Accuracy train,Accuracy test,Time descriptor,Time vocabulary,Time classifier,Time evaluation train,Time evaluation test
sift,50,10,0.538409929553841,0.4446666666666666,69.67784595489502,35.978798151016235,118.1886613368988,110.57146787643433,62.01645040512085
sift,50,20,0.5414290506541429,0.4593333333333333,89.90003681182861,51.03526186943054,116.80693531036376,108.12133502960204,56.283414125442505
sift,50,30,0.5350553505535055,0.4533333333333333,96.02417159080504,67.33953046798706,130.92668771743774,124.00638556480408,61.82708024978638
sift,50,40,0.5256625293525663,0.45,105.81602501869202,79.7509229183197,129.23234868049622,121.63257455825806,60.20179581642151
sift,100,10,0.5944313988594432,0.4813333333333333,101.71353673934937,71.80277490615845,149.97866582870483,136.13975381851196,66.87912774085999
sift,100,20,0.593760483059376,0.478,108.12693691253662,98.91699028015135,152.58265352249146,140.56102657318115,69.8734142780304
sift,100,30,0.6021469305602147,0.4913333333333333,113.69694709777832,123.67395639419556,164.11052012443542,153.34633874893188,75.41124129295349
sift,100,40,0.5920831935592084,0.4853333333333333,124.0944197177887,154.92886114120483,164.5769386291504,151.90582299232483,76.30833220481873
sift,200,10,0.6383763837638377,0.4913333333333333,128.76465034484863,138.96542859077454,185.76294803619385,167.93423557281494,83.9140772819519
sift,200,20,0.7272727272727273,0.4953333333333333,129.93077683448792,190.83712577819824,184.83178615570068,167.26519870758057,84.37066149711609
sift,200,30,0.655820194565582,0.4986666666666666,129.98932671546936,245.58746361732483,203.7746419906616,194.97100257873527,97.0078625679016
sift,200,40,0.6424018785642401,0.4986666666666666,139.0911467075348,328.6052088737488,204.95450019836423,194.88230729103088,103.6656539440155
sift,400,10,0.7859778597785978,0.4913333333333333,157.76190328598022,292.6460552215576,244.5129592418671,198.84241271018985,112.6919403076172
sift,400,20,0.8114726601811473,0.5206666666666667,151.87817478179932,383.7191553115845,228.00708317756653,199.5887062549591,99.70453596115112
sift,400,30,0.7997316336799731,0.504,135.97584080696106,483.7451617717743,232.19156527519223,204.0822396278381,105.607102394104
sift,400,40,0.8034216705803422,0.504,138.42959856987,596.1901910305023,237.90512108802795,208.4960942268372,104.29996085166933
kaze,50,10,0.4391143911439114,0.3437917222963952,188.79554200172424,14.769309282302856,324.64602994918823,291.57140374183655,147.1437427997589
kaze,50,20,0.4297215699429721,0.3451268357810413,181.053761959076,19.624633073806763,326.82196283340454,298.85299372673035,24002.80477380753
kaze,50,30,0.4324052331432405,0.3511348464619492,186.73593664169312,26.58433175086975,308.26540303230286,311.3398585319519,445.2855544090271
kaze,50,40,0.4293861120429386,0.3477970627503338,190.6172971725464,32.291417837142944,319.27063250541687,298.4307768344879,149.74161314964294
kaze,100,10,0.48909761824890974,0.3711615487316422,192.5217685699463,27.136331796646118,332.2344672679901,308.6832649707794,157.9045352935791
kaze,100,20,0.5132505870513251,0.3871829105473965,246.59534168243408,47.28411412239075,380.95293140411377,350.70963978767395,177.1294813156128
kaze,100,30,0.5112378396511238,0.390520694259012,221.11917972564697,55.28147768974304,370.6635661125183,355.02620697021484,173.86708879470825
kaze,100,40,0.5065414290506541,0.3771695594125501,202.7791519165039,67.17623591423035,368.7020695209503,343.41057443618774,184.34070944786072
kaze,200,10,0.6048305937604831,0.40120160213618156,191.47541999816895,51.908647298812866,353.337730884552,330.344877243042,171.76799035072327
kaze,200,20,0.6095270043609528,0.4098798397863818,211.81766986846924,78.39364409446716,420.9003040790558,398.5697405338288,185.3256106376648
kaze,200,30,0.586380409258638,0.3911882510013351,202.9358706474304,103.94749045372008,381.7633988857269,354.76182866096497,177.0443823337555
kaze,200,40,0.5763166722576316,0.4299065420560747,204.37030172348025,122.80684161186218,395.1408836841583,364.7707133293152,213.66108798980716
kaze,400,10,0.6397182153639718,0.4218958611481976,208.90315675735474,105.35543394088745,372.8300256729126,336.6191637516022,187.7446014881134
kaze,400,20,0.684669573968467,0.4372496662216288,235.17984676361084,605.9955854415894,378.5327100753784,334.72931361198425,168.17573237419128
kaze,400,30,0.6450855417645086,0.4212283044058745,188.27729988098145,190.59732794761655,426.8943295478821,372.0250668525696,192.4412853717804
kaze,400,40,0.6360281784636028,0.4265687583444593,202.0767092704773,243.85919785499573,392.8351640701294,341.38657116889954,171.3767809867859
